"date"	"sum"	"country"
"94"	"1986/11/30 "	6	"BRAZIL"
"95"	"2000/10/2 "	6	"TANZANIA"
"96"	"2004/9/21 "	6	"POLAND"
"97"	"-2150/NA/NA "	5	"JORDAN"
"98"	"1862/7/10 "	5	"GHANA"
"99"	"1834/10/15 "	5	"HUNGARY"
"100"	"1935/11/1 "	5	"VIETNAM"
"101"	"1941/11/25 "	5	"ATLANTIC OCEAN"
"102"	"1929/6/27 "	5	"SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS"
"103"	"2009/9/21 "	5	"BHUTAN"
"104"	"2014/5/5 "	4	"THAILAND"
"105"	"1990/5/20 "	4	"SUDAN"
"106"	"1911/8/16 "	4	"MICRONESIA, FED. STATES OF"
"107"	"1998/3/25 "	4	"ANTARCTICA"
"108"	"1989/3/10 "	4	"MALAWI"
"109"	"2015/8/7 "	4	"RWANDA"
"110"	"2004/1/10 "	3	"SLOVAKIA"
"111"	"1690/4/16 "	3	"ANTIGUA AND BARBUDA"
"112"	"1928/3/9 "	3	"INDIAN OCEAN"
"113"	"1966/3/20 "	3	"UGANDA"
"114"	"1976/7/26 "	3	"MALAYSIA"
"115"	"1992/4/13 "	3	"NETHERLANDS"
"116"	"2009/5/19 "	3	"SAUDI ARABIA"
"117"	"2006/2/22 "	3	"MOZAMBIQUE"
"118"	" "	2	"SAINT LUCIA"
"119"	"1788/NA/NA "	2	"TOGO"
"120"	" "	2	"CANARY ISLANDS"
"121"	"1983/11/30 "	2	"UK TERRITORY"
"122"	"1879/2/11 "	2	"COTE D'IVOIRE"
"123"	"1895/3/6 "	2	"SOLOMON SEA"
"124"	"1945/9/12 "	2	"CAMEROON"
"125"	"1910/12/13 "	2	"ZAMBIA"
"126"	"1968/3/20 "	2	"KENYA"
"127"	"1932/11/2 "	2	"PACIFIC OCEAN"
"128"	"2007/5/16 "	2	"LAOS"
"129"	" "	1	"IRELAND"
"130"	" "	1	"FRENCH GUIANA"
"131"	"1795/5/20 "	1	"SIERRA LEONE"
"132"	"1819/8/31 "	1	"NORWAY"
"133"	" "	1	"GRENADA"
"134"	" "	1	"BARBADOS"
"135"	" "	1	"SAINT VINCENT AND THE GRENADINES"
"136"	"1848/7/12 "	1	"FRENCH POLYNESIA"
"137"	" "	1	"BRITISH VIRGIN ISLANDS"
"138"	" "	1	"SRI LANKA"
"139"	"1884/7/20 "	1	"ERITREA"
"140"	" "	1	"URUGUAY"
"141"	" "	1	"MONTSERRAT"
"142"	"1905/6/30 "	1	"KIRIBATI"
"143"	"1914/10/23 "	1	"PALAU"
"144"	"1921/9/16 "	1	"CENTRAL AFRICAN REPUBLIC"
"145"	"1963/2/21 "	1	"LIBYA"
"146"	"1974/9/23 "	1	"GABON"
"147"	"1983/11/8 "	1	"BELGIUM"
"148"	"1983/12/22 "	1	"GUINEA"
"149"	"1989/8/20 "	1	"DJIBOUTI"
"150"	"1991/2/21 "	1	"BERING SEA"
"151"	"1993/3/12 "	1	"WALLIS AND FUTUNA (FRENCH TERRITORY)"
"152"	"2004/2/24 "	1	"BURUNDI"
"153"	"2008/11/22 "	1	"CZECH REPUBLIC"
"154"	"2017/1/11 "	1	"MADAGASCAR"
"155"	"2018/5/15 "	1	"COMOROS"
